"Borough","Market Name","Street Address","Community District","Latitude","Longitude","Days of Operation","Hours of Operations","Season Begin","Season End","Accepts EBT","Distributes Health Bucks?","Open Year-Round"," Cooking Demonstrations","Location Point","Zip Code"
"Manhattan","Harvest Home East Harlem Farmers Market","E. 104th St. & 3rd Ave.","111","40.7903","-73.945635","Thursday","8AM - 3PM","2023 Jun 15 12:00:00 AM","2023 Nov 16 12:00:00 AM","Yes","Yes","No","No","(40.7903, -73.945635)","10029"
"Brooklyn","Seeds in the Middle - Flatbush - Hillel Plaza Farm Stand","Flatbush/Nostrand Triangle","314","40.63262","-73.947439","Wednesday","4PM - 7PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","No","No","(40.63262, -73.947439)","11210"
"Bronx","Morris Heights Farmstand","University Ave. and W. 179th St.","205","40.854567","40.854567","Wednesday","11AM - 3PM","2023 Mar 27 12:00:00 AM","2023 Nov 29 12:00:00 AM","Yes","Yes","No","No","(40.854567, 40.854567)","10453"
"Bronx","170 Farm Stand","1406 Townsend Ave.","204","40.840138","-73.916591","Wednesday","2PM - 6PM","2023 Jul 12 12:00:00 AM","2023 Nov 22 12:00:00 AM","Yes","Yes","No","Yes","(40.840138, -73.916591)","10452"
"Bronx","JBOLC Garden Community Farmers Market","Sedgwick Ave. & Goulden Ave.","207","40.882647","-73.886562","Saturday","10AM - 3PM","2023 Jun 17 12:00:00 AM","2023 Oct 28 12:00:00 AM","Yes","Yes","No","No","(40.882647, -73.886562)","10468"
"Queens","Perez Farm Stand","134-20 Jamaica Ave., by the Axel Building","409","40.70236","-73.818531","Wednesday","10AM - 4PM","2023 Jun 14 12:00:00 AM","2023 Nov 01 12:00:00 AM","Yes","Yes","No","No","(40.70236, -73.818531)","11418"
"Brooklyn","7th Ave Sunset Park Greenmarket","7th Ave. & 44th St.","307","40.645841","-74.002402","Saturday","8AM - 3PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.645841, -74.002402)","11232"
"Manhattan","PS 11 Farm Market","320 W. 21st St.","104","40.744349","-74.000253","Wednesday","8AM - 10AM","2023 Jun 07 12:00:00 AM","2023 Nov 01 12:00:00 AM","No","No","No","No","(40.744349, -74.000253)","10011"
"Manhattan","Astor Place Greenmarket","E. 8th St. & Lafayette","102","40.72982","-73.991023","Tuesday","8AM - 5PM","2023 Jun 06 12:00:00 AM","2023 Nov 21 12:00:00 AM","Yes","Yes","No","No","(40.72982, -73.991023)","10003"
"Brooklyn","Fresh Vibes Market at Emblem Health","101 Pennsylvania Ave.","305","40.675209","-73.896508","Wednesday (2nd and 3rd)","11AM - 2:30PM",,,"Yes","Yes","No","No","(40.675209, -73.896508)","11207"
"Brooklyn","Seeds in the Middle East Flatbush Farm Stand 2","4801 Ave. D (PS 208)","317","40.642031","-73.931151","Friday","2PM - 4PM",,,"Yes","Yes","No","No","(40.642031, -73.931151)","11203"
"Manhattan","Tribeca Greenmarket","Greenwich & Chambers streets","101","40.716303","-74.010966","Wednesday & Saturday","8AM - 2PM","2023 Apr 05 12:00:00 AM","2023 Nov 22 12:00:00 AM","Yes","Yes","No","No","(40.716303, -74.010966)","10013"
"Brooklyn","Eastern Parkway Farm Stand","1420 Eastern Parkway","316","40.668787","-73.921582","Saturday","10AM - 2PM",,,"TBD","No","No","No","(40.668787, -73.921582)","11233"
"Brooklyn","Brownsville Pitkin Farmstand","Pitkin Ave. bet Thomas Boyland and Amboy St.","316","40.669234","-73.913698","Saturday","9AM - 2PM","2023 Jul 08 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.669234, -73.913698)","11212"
"Queens","Ditmars Park Farmstand","Steinway St. bet Ditmars Blvd. & 23rd Ave.","401","40.772854","-73.906061","Saturday","9:30AM - 2PM",,,"Yes","Yes","No","No","(40.772854, -73.906061)","11105"
