Borough,Market Name,Street Address,Latitude,Longitude
Manhattan,Harvest Home East Harlem Farmers Market,E. 104th St. & 3rd Ave.,40.7903,-73.945635
Brooklyn,Seeds in the Middle - Flatbush - Hillel Plaza Farm Stand,Flatbush/Nostrand Triangle,40.63262,-73.947439
Bronx,Morris Heights Farmstand,University Ave. and W. 179th St.,40.854567,-73.927439
Bronx,170 Farm Stand,1406 Townsend Ave.,40.840138,-73.916591
Bronx,JBOLC Garden Community Farmers Market,Sedgwick Ave. & Goulden Ave.,40.882647,-73.886562
Queens,Perez Farm Stand,134-20 Jamaica Ave.,40.70236,-73.818531
Brooklyn,7th Ave Sunset Park Greenmarket,7th Ave. & 44th St.,40.645841,-74.002402
Manhattan,PS 11 Farm Market,320 W. 21st St.,40.744349,-74.000253
Manhattan,Astor Place Greenmarket,E. 8th St. & Lafayette,40.72982,-73.991023
Brooklyn,Fresh Vibes Market at Emblem Health,101 Pennsylvania Ave.,40.675209,-73.896508
Brooklyn,Seeds in the Middle East Flatbush Farm Stand 2,4801 Ave. D (PS 208),40.642031,-73.931151
Manhattan,Tribeca Greenmarket,Greenwich & Chambers streets,40.716303,-74.010966
Brooklyn,Eastern Parkway Farm Stand,1420 Eastern Parkway,40.668787,-73.921582
Brooklyn,Brownsville Pitkin Farmstand,Pitkin Ave. bet Thomas Boyland and Amboy St.,40.669234,-73.913698
Queens,Ditmars Park Farmstand,Steinway St. bet Ditmars Blvd. & 23rd Ave.,40.772854,-73.906061
Brooklyn,Carroll Gardens Greenmarket,Smith & Carroll Sts.,40.680761,-73.99552
Manhattan,Fort Washington Greenmarket,168th St. & Ft. Washington Ave.,40.842296,-73.942027
Bronx,Bissel Gardens Farmers Market,Baychester Ave. & E. 241st St.,40.90152,-73.846937
Brooklyn,NYP Youth Market - Brooklyn,249 7th Ave.,40.669218,-73.979629
Queens,QueensVillage Farmers Market,QueensVillage Long Island Railroad Commuter Parking Lot - Amboy Ln. & Springfield Blvd.,40.717978,-73.735337
Manhattan,Uptown Good Food Farm Stand,330 St. Nicholas Ave.,40.81172,-73.951795
Bronx,Bronx Park East Farmers Market,2222 Bronx Park E.,40.851713,-73.867786
Queens,Far Rock Farm Stand,45-55 Beach Channel Dr.,40.595572,-73.777001
Bronx,Lincoln Hospital Greenmarket,E. 149th St. bet Park & Morris Aves,40.818013,-73.925185
Manhattan,Tompkins Square Greenmarket,7th St. & Ave. A,40.726054,-73.983534
Brooklyn,Fresh Vibes Market at Medgar Evers College,1630 Bedford Ave.,40.666799,-73.956679
Bronx,Harvest Home St. Mary's Park Farm Stand,E. 149th St. & Eagle Ave.,40.8139,-73.911812
Staten Island,Children's Aid Society Go!Healthy Food Box + Famstand - Goodhue Center,304 Prospect Ave.,40.638936,-74.097966
Bronx,New Roots Farm Stand,670 Grand Concourse,40.821447,-73.925492
Manhattan,PS 57 Farmstand,115th St. & 3rd Ave.,40.797577,-73.94128
Manhattan,Inwood Park Greenmarket,Isham St bet Seaman Ave. & Cooper St.,40.869001,-73.920896
Staten Island,Staten Island Mall Greenmarket,Marsh Ave. & Ring Road,40.583804,-74.161245
Manhattan,Gouverneur Health Farmstand,Madison St. bet Clinton & Jefferson Sts.,40.712905,-73.986928
Queens,Rockaway Market @ Beach 60th,Rockaway Freeway & Beach 60th St.,40.592902,-73.789051
Brooklyn,Kensington Farmstand,McDonald Ave. & Albermarle Road,40.64511,-73.979882
Queens,Rockaway Youth Task Force Youth Market,310 Beach 58th St.,40.594492,-73.788077
Bronx,Poe Park Greenmarket,E. 192nd St. bet Grand Concourse & Valentine,40.86431,-73.895379
Manhattan,175th Street Greenmarket,W. 175th St. bet. Wadsworth Ave. & Broadway,40.845948,-73.937811
Manhattan,Harvest Home Lenox Avenue Farm Stand,Lenox Ave. bet. W. 117 & 118 Sts.,40.802699,-73.949186
Manhattan,82nd Street Greenmarket,E. 82nd St. bet 1st & York Aves,40.774292,-73.951262
Manhattan,Fulton Stall Market (indoor farmers market),91 South St.,40.705865,-74.003769
Bronx,Project EATS & St. Barnabas Hospital Farm Stand,4507 3rd Ave.,40.853237,-73.891742
Brooklyn,Isabahlia Farmers Market,514 Rockaway Ave.,40.667554,-73.910207
Bronx,Morrisania Farmstand,169th St. & Boston Rd.,40.83118,-73.900545
Bronx,Children's Aid Go!Healthy Food Box + Farmstand - CS211,1919 Prospect Ave.,40.843546,-73.889755
Brooklyn,Domino Park Greenmarket,River St. bet S 1st St. and S. 3rd St.,40.715385,-73.967441
