provider,borough,address
ACTS Community Development Corporation,Brooklyn,"2114 Mermaid Avenue, Brooklyn NY 11224"
American Council of Minority Women Inc,Brooklyn,"1090 Coney Island Avenue, Brooklyn NY 11230"
Arab American Association of New York Inc,Brooklyn,"6803 5th Avenue, Brooklyn NY 11220"
Apna Brooklyn Community Center Inc,Brooklyn,"1236 Neptune Avenue, Brooklyn NY 11235"
Arab-American Family Support Center Inc,Brooklyn,"150 Court Street, Brooklyn NY 11201"
Bay Ridge Community Development Center Inc,Brooklyn,"6806 5th Avenue, Brooklyn NY 11220"
Bensonhurst Council of Jewish Organizations,Brooklyn,"8635 21st Avenue, Brooklyn NY 11214"
Bergen Basin Community Development Corporation,Brooklyn,"2331 Bergen Avenue, Brooklyn NY 11234"
BHRAGS Home Care Corp,Brooklyn,"2005 Nostrand Ave, Brooklyn NY 11210"
Black Veterans for Social Justice Inc,Brooklyn,"665 Willoughby Avenue, Brooklyn NY 11206"
Bnai Raphael Chesed Organization Inc,Brooklyn,"3846 Flatlands Ave. Flr 1, Brooklyn NY 11234"
Boro Park Jewish Community Council,Brooklyn,"1310 46th Street, Brooklyn NY 11219"
Brooklyn Emerge Inc,Brooklyn,"1001 Newkirk Ave, Brooklyn NY 11230"
Camp Friendship Inc,Brooklyn,"339 8th Street, Brooklyn NY 11215"
Campaign Against Hunger Inc,Brooklyn,"2010 Fulton Street, Brooklyn NY 11233"
Center for Family Life in Sunset Park Inc,Brooklyn,"443 39th Street, Brooklyn NY 11232"
Catholic Charities Neighborhood Services Inc,Brooklyn,"191 Joralemon Street, Brooklyn NY 11201"
Chinese American Social Services Center Inc,Brooklyn,"124 Avenue O, Brooklyn NY 11204"
Collective Focus Resource Hub Inc,Brooklyn,"1046 Broadway, Brooklyn NY 11221"
Community Help in Park Slope Inc,Brooklyn,"200 Fourth Avenue, Brooklyn NY 11217"
Cong Chasdei Lev,Brooklyn,"1573 39th Street, Brooklyn NY 11218"
Council of Jewish Organizations of Flatbush Inc,Brooklyn,"1523 Avenue M, Brooklyn NY 11230"
Council of Peoples Organization Inc,Brooklyn,"1077 Coney Island Avenue, Brooklyn NY 11230"
Crown Heights Jewish Community Council Inc,Brooklyn,"392 Kingston Ave, Brooklyn NY 11225"
Crown Heights Youth Collective Inc,Brooklyn,"113 Rogers Avenue, Brooklyn NY 11216"
Elite Learners Inc,Brooklyn,"45 Belmont Ave., Brooklyn NY 11212"
Expecting Relief,Brooklyn,"133 Jamaica Ave, Brooklyn NY 11207"
Family Services Network of New York Inc,Brooklyn,"1420 Bushwick Avenue, Brooklyn NY 11207"
Flatbush Community Fund Inc,Brooklyn,"1968 Flatbush Avenue, Brooklyn NY 11220"
Grandma's Love Inc,Brooklyn,"261 68th Street, Brooklyn NY 11220"
Grant House Unity Corp,Brooklyn,"2049 Flatbush Avenue, Brooklyn NY 11234"
Health Essential Association Inc,Brooklyn,"2101 E16th Street 2FL, Brooklyn NY 11229"
Hebrew Educational Society,Brooklyn,"9502 Seaview Avenue, Brooklyn NY 11236"
Institute for Community Equity and Sharing Inc,Brooklyn,"13 Greene Avenue, Brooklyn NY 11238"
Jewish Community Council of Canarsie Inc,Brooklyn,"1170 Pennsylvania Avenue, Brooklyn NY 11239"
Jewish Community Council of Greater Coney Island Inc,Brooklyn,"3001 West 37th Street, Brooklyn NY 11224"
Kings Bay YM-YWHA Inc,Brooklyn,"3495 Nostrand Avenue, Brooklyn NY 11229"
Life of Hope,Brooklyn,"1377 Brooklyn Ave, Brooklyn NY 11203"
Make the Road New York,Brooklyn,"301 Grove St., Brooklyn NY 11237"
Masbia of Boro Park,Brooklyn,"5402 New Utrecht Ave, Brooklyn NY 11219"
Masbia of Flatbush,Brooklyn,"1372 Coney Island, Brooklyn NY 11230"
Mixteca Organization Inc,Brooklyn,"245 23rd Street, Brooklyn NY 11215"
Muna Social Services Inc,Brooklyn,"464 Crescent Street, Brooklyn NY 11208"
National Committee for the Furtherance of Jewish Education,Brooklyn,"824 Eastern Parkway, Brooklyn NY 11213"
New York United Jewish Association Inc,Brooklyn,"2076 Flatbush Avenue, Brooklyn NY 11234"
Out of the Walls Ministries Inc,Brooklyn,"1010 Cleveland Street, Brooklyn NY 11208"
Pakistani American Youth Organization Inc,Brooklyn,"1045 Coney Island Avenue, Brooklyn NY 11230"
Reaching Out Community Services Inc,Brooklyn,"7708 New Utrecht Avenue, Brooklyn NY 11214"
People In Need Inc,Brooklyn,"944 Newkirk Avenue, Brooklyn NY 11230"
SBH Community Service Network Inc,Brooklyn,"425 Kings Hwy, Brooklyn NY 11223"
Seeds in the Middle,Brooklyn,"153 Warren Street, Brooklyn NY 11201"
Shorefront Jewish Community Council Inc,Brooklyn,"128 Brighton Beach Avenue, Brooklyn NY 11235"
Southside Community Mission Inc,Brooklyn,"280 Marcy Avenue, Brooklyn NY 11211"
Southside United Housing Development Fund Corporation,Brooklyn,"434 S 5th St, Brooklyn NY 11211"
Sri Durga Mandir Multicultural Community Center Inc,Brooklyn,"18 Ashford Street, Brooklyn NY 11207"
St. Patrick's Church,Brooklyn,"9511 4th Avenue, Brooklyn NY 11209"
Trinity Human Services Corporation,Brooklyn,"153 A Johnson Avenue, Brooklyn NY 11206"
United Jewish Organizations of Williamsburg Inc,Brooklyn,"32 Penn Street, Brooklyn NY 11249"
Vinegar Hill Food Pantry,Brooklyn,"228 York St., Brooklyn NY 11201"
Women’s Empowerment Coalition of New York City,Brooklyn,"437 77th Street, Brooklyn NY 11209"
Yemeni American Merchants Association,Brooklyn,"352 86th Street, Brooklyn NY 11209"
