provider,borough,address,latitude,longitude
ACTS Community Development Corporation,Brooklyn,"2114 Mermaid Avenue, Brooklyn NY 11224",40.5761,-73.9847
American Council of Minority Women Inc,Brooklyn,"1090 Coney Island Avenue, Brooklyn NY 11230",40.6187,-73.9632
Arab American Association of New York Inc,Brooklyn,"6803 5th Avenue, Brooklyn NY 11220",40.6352,-74.0222
Apna Brooklyn Community Center Inc,Brooklyn,"1236 Neptune Avenue, Brooklyn NY 11235",40.5777,-73.9642
Arab-American Family Support Center Inc,Brooklyn,"150 Court Street, Brooklyn NY 11201",40.6887,-73.9911
Bay Ridge Community Development Center Inc,Brooklyn,"6806 5th Avenue, Brooklyn NY 11220",40.6353,-74.0223
Bensonhurst Council of Jewish Organizations,Brooklyn,"8635 21st Avenue, Brooklyn NY 11214",40.6042,-73.9962
Bergen Basin Community Development Corporation,Brooklyn,"2331 Bergen Avenue, Brooklyn NY 11234",40.6182,-73.9277
BHRAGS Home Care Corp,Brooklyn,"2005 Nostrand Ave, Brooklyn NY 11210",40.6262,-73.9462
Black Veterans for Social Justice Inc,Brooklyn,"665 Willoughby Avenue, Brooklyn NY 11206",40.6942,-73.9432
Bnai Raphael Chesed Organization Inc,Brooklyn,"3846 Flatlands Ave. Flr 1, Brooklyn NY 11234",40.6132,-73.9342
Boro Park Jewish Community Council,Brooklyn,"1310 46th Street, Brooklyn NY 11219",40.6362,-73.9882
Brooklyn Emerge Inc,Brooklyn,"1001 Newkirk Ave, Brooklyn NY 11230",40.6292,-73.9622
Camp Friendship Inc,Brooklyn,"339 8th Street, Brooklyn NY 11215",40.6682,-73.9832
Campaign Against Hunger Inc,Brooklyn,"2010 Fulton Street, Brooklyn NY 11233",40.6782,-73.9112
Center for Family Life in Sunset Park Inc,Brooklyn,"443 39th Street, Brooklyn NY 11232",40.6522,-74.0072
Catholic Charities Neighborhood Services Inc,Brooklyn,"191 Joralemon Street, Brooklyn NY 11201",40.6932,-73.9912
Chinese American Social Services Center Inc,Brooklyn,"124 Avenue O, Brooklyn NY 11204",40.6172,-73.9732
Collective Focus Resource Hub Inc,Brooklyn,"1046 Broadway, Brooklyn NY 11221",40.6932,-73.9292
Community Help in Park Slope Inc,Brooklyn,"200 Fourth Avenue, Brooklyn NY 11217",40.6732,-73.9902
Cong Chasdei Lev,Brooklyn,"1573 39th Street, Brooklyn NY 11218",40.6382,-73.9742
Council of Jewish Organizations of Flatbush Inc,Brooklyn,"1523 Avenue M, Brooklyn NY 11230",40.6182,-73.9612
Council of Peoples Organization Inc,Brooklyn,"1077 Coney Island Avenue, Brooklyn NY 11230",40.6187,-73.9632
Crown Heights Jewish Community Council Inc,Brooklyn,"392 Kingston Ave, Brooklyn NY 11225",40.6682,-73.9422
Crown Heights Youth Collective Inc,Brooklyn,"113 Rogers Avenue, Brooklyn NY 11216",40.6702,-73.9522
Elite Learners Inc,Brooklyn,"45 Belmont Ave., Brooklyn NY 11212",40.6692,-73.9102
Expecting Relief,Brooklyn,"133 Jamaica Ave, Brooklyn NY 11207",40.6912,-73.8822
Family Services Network of New York Inc,Brooklyn,"1420 Bushwick Avenue, Brooklyn NY 11207",40.6832,-73.9042
Flatbush Community Fund Inc,Brooklyn,"1968 Flatbush Avenue, Brooklyn NY 11220",40.6072,-73.9272
Grandma's Love Inc,Brooklyn,"261 68th Street, Brooklyn NY 11220",40.6352,-74.0222
Grant House Unity Corp,Brooklyn,"2049 Flatbush Avenue, Brooklyn NY 11234",40.6072,-73.9272
Health Essential Association Inc,Brooklyn,"2101 E16th Street 2FL, Brooklyn NY 11229",40.6072,-73.9272
Hebrew Educational Society,Brooklyn,"9502 Seaview Avenue, Brooklyn NY 11236",40.6152,-73.9002
Institute for Community Equity and Sharing Inc,Brooklyn,"13 Greene Avenue, Brooklyn NY 11238",40.6862,-73.9622
Jewish Community Council of Canarsie Inc,Brooklyn,"1170 Pennsylvania Avenue, Brooklyn NY 11239",40.6312,-73.8802
Jewish Community Council of Greater Coney Island Inc,Brooklyn,"3001 West 37th Street, Brooklyn NY 11224",40.5772,-73.9842
Kings Bay YM-YWHA Inc,Brooklyn,"3495 Nostrand Avenue, Brooklyn NY 11229",40.6072,-73.9272
Life of Hope,Brooklyn,"1377 Brooklyn Ave, Brooklyn NY 11203",40.6502,-73.9412
Make the Road New York,Brooklyn,"301 Grove St., Brooklyn NY 11237",40.7002,-73.9222
Masbia of Boro Park,Brooklyn,"5402 New Utrecht Ave, Brooklyn NY 11219",40.6352,-73.9882
Masbia of Flatbush,Brooklyn,"1372 Coney Island, Brooklyn NY 11230",40.6187,-73.9632
Mixteca Organization Inc,Brooklyn,"245 23rd Street, Brooklyn NY 11215",40.6502,-73.9832
Muna Social Services Inc,Brooklyn,"464 Crescent Street, Brooklyn NY 11208",40.6782,-73.8822
National Committee for the Furtherance of Jewish Education,Brooklyn,"824 Eastern Parkway, Brooklyn NY 11213",40.6692,-73.9422
New York United Jewish Association Inc,Brooklyn,"2076 Flatbush Avenue, Brooklyn NY 11234",40.6072,-73.9272
Out of the Walls Ministries Inc,Brooklyn,"1010 Cleveland Street, Brooklyn NY 11208",40.6782,-73.8822
Pakistani American Youth Organization Inc,Brooklyn,"1045 Coney Island Avenue, Brooklyn NY 11230",40.6187,-73.9632
Reaching Out Community Services Inc,Brooklyn,"7708 New Utrecht Avenue, Brooklyn NY 11214",40.6042,-73.9962
People In Need Inc,Brooklyn,"944 Newkirk Avenue, Brooklyn NY 11230",40.6292,-73.9622
SBH Community Service Network Inc,Brooklyn,"425 Kings Hwy, Brooklyn NY 11223",40.6042,-73.9732
Seeds in the Middle,Brooklyn,"153 Warren Street, Brooklyn NY 11201",40.6932,-73.9912
Shorefront Jewish Community Council Inc,Brooklyn,"128 Brighton Beach Avenue, Brooklyn NY 11235",40.5777,-73.9642
Southside Community Mission Inc,Brooklyn,"280 Marcy Avenue, Brooklyn NY 11211",40.7082,-73.9572
Southside United Housing Development Fund Corporation,Brooklyn,"434 S 5th St, Brooklyn NY 11211",40.7082,-73.9572
Sri Durga Mandir Multicultural Community Center Inc,Brooklyn,"18 Ashford Street, Brooklyn NY 11207",40.6782,-73.8822
St. Patrick's Church,Brooklyn,"9511 4th Avenue, Brooklyn NY 11209",40.6162,-74.0322
Trinity Human Services Corporation,Brooklyn,"153 A Johnson Avenue, Brooklyn NY 11206",40.7062,-73.9432
United Jewish Organizations of Williamsburg Inc,Brooklyn,"32 Penn Street, Brooklyn NY 11249",40.7102,-73.9632
Vinegar Hill Food Pantry,Brooklyn,"228 York St., Brooklyn NY 11201",40.6992,-73.9782
